Trial,Stim_Fast_sub001,Stim_Fast_sub002,Stim_Fast_sub003,Stim_Fast_sub004,Stim_Fast_sub005,Stim_Fast_sub006,Stim_Slow_sub001,Stim_Slow_sub002,Stim_Slow_sub003,Stim_Slow_sub004,Stim_Slow_sub005,Stim_Slow_sub006,Recovery_Fast_sub001,Recovery_Fast_sub002,Recovery_Fast_sub003,Recovery_Fast_sub004,Recovery_Fast_sub005,Recovery_Fast_sub006,Recovery_Slow_sub001,Recovery_Slow_sub002,Recovery_Slow_sub003,Recovery_Slow_sub004,Recovery_Slow_sub005,Recovery_Slow_sub006
1,-463.332676376461,-455.544892966599,745.730440992455,1464.11447549453,-339.901292839908,-631.879040568439,-635.3752697185,-280.761993761886,-347.843312173528,-501.5921808194,366.514767820605,713.871953384043,116.349706450382,1671.03661047269,1945.91346197084,1204.29579962991,-872.479812466433,1839.92312790115,-448.980930561452,-1042.12861289312,1173.68247840549,1131.60845900404,-1114.9766129296,-790.753556991347
2,-494.080437697965,208.328491291998,-217.870271971831,788.671081525799,-586.590084921301,-81.2439725054246,124.994911448744,23.9986914745568,8.14080488180571,-436.231561528803,500.48446593341,350.787455600263,1238.13506767646,1051.38746982875,1684.47392390908,1781.99680799544,-971.083430190946,2106.2265205208,-386.321078835561,-797.489010659049,569.129255456567,1006.87743836592,-2705.59188233721,-1670.92692016346
3,72.9078213541234,172.763488638625,-243.347129790146,-91.05127720368,-191.819491314168,77.3452915672433,104.523664669099,72.324165769618,-43.4633750506755,-283.169404782668,-46.5655029772206,-262.237371200628,1441.34728413392,1093.23044265929,1460.71871082192,369.946584465677,-1100.09493818236,2061.58213969623,-544.870061494078,-1291.36108563976,487.260679141637,917.945091786612,-2469.59692638369,-1251.69573998394
4,302.701161769139,258.285065180846,-65.1039505635763,-1389.26950670787,513.634201773034,321.045980281658,253.922705321133,206.692031858198,213.501002803965,-102.07286051403,-152.694865177466,-611.401730689213,1501.27873130785,996.653898370273,1439.95412400728,501.007899012591,-1236.76410548305,2311.59363521181,-416.963738740867,-1542.11656533368,88.5520502950831,1525.90255255836,-2835.10930125961,-1468.36715267975
5,581.80413095116,-183.832152144873,-219.409088666906,-772.464773108783,604.676667302344,314.731741224966,151.933988279527,-22.2528953404881,169.664879538431,1323.0660076449,-667.738865599324,-191.020307094461,1849.24516357628,1083.15890584274,1436.18697918991,-888.467497422824,-661.286209570243,2047.24651622771,-250.581011672557,-1652.8325439557,52.9351035645159,794.487834638734,-2908.48955713179,-1486.66696416218
6,520.37280708509,46.6087990187452,316.458157514319,-1381.95005607968,1149.0335577162,457.932643136141,128.70954019787,-50.1723397433188,172.975810564997,727.552595343164,-763.232176970472,-983.412897194079,1718.16217625774,1079.34967528678,1292.2245584967,-460.159894277253,-1189.33291133928,2136.57409358373,-115.760901351403,-1910.62784508257,-102.165575105932,1288.25407221001,-3061.36966485065,-2086.64080940741
7,581.513069091807,-369.930077817527,427.814534344293,-953.474470812716,856.744098003571,204.020065013106,-290.026959498693,-399.994549384499,-12.3902857674884,1516.19260343605,-910.059072025082,-562.662312730597,1976.08268753481,1291.00337827613,1429.25477804211,-885.164688320987,-820.646195864523,2042.37833002811,-128.5181919254,-1641.69729418389,-76.972209800474,627.167761790166,-2808.03200447131,-2221.80653817025
8,584.47335822149,-62.3177265944696,564.414591101267,-869.611234363601,1454.12413902211,382.217045318038,-252.561170258736,-326.00051936501,128.390332078817,1481.30423180052,-792.660139578969,-913.623732105266,1948.09777548915,879.542240991145,1107.61463459606,139.42795306542,-1482.0481990758,2338.33273281656,-412.515036685119,-1545.82319046825,-413.732737668176,1149.01534261774,-2694.78290683866,-2435.93175768377
9,733.862971062203,-281.923330970591,142.484624063696,439.235860064131,628.877475340599,291.313431696339,-239.919972741654,-634.977059805185,-214.95994177204,1801.09211545037,-1352.18327687689,-821.889740471137,2558.45557495961,838.841753915641,903.534538565474,-188.085973500429,-1699.55058073967,1888.48173368757,-529.045310657872,-1350.38702788362,-348.783350609248,173.400751761303,-2456.48574526427,-2661.14938374071
10,725.260202874341,4.60659158877024,559.876496429151,258.869601287197,943.915035631238,267.66592378635,-185.52652966289,-524.129229725142,-66.836562070941,528.721673161806,-1037.93663524089,-1211.01210797502,2076.62389350122,542.172313353735,677.925742460866,875.732805014155,-1979.82393464,2027.16017871639,-1061.94174356603,-1301.53412639337,-456.025607833259,590.605227395961,-2266.02745991052,-1941.45468197419
11,1151.56228327383,-427.769991521291,146.726950510299,799.543437323764,475.582254024065,127.228970770672,-151.269689207133,-560.464834880988,-222.29374989441,1797.15021493247,-1679.18547332407,-1364.04138292876,2551.14657489396,595.321123328581,627.126521732403,463.74721196815,-1707.50475416981,1991.83986247785,-1235.61767955919,-1448.14604478232,-406.847806289007,-284.215473222619,-1738.35978028118,-1970.29581692019
12,771.747588407306,-111.200265510297,39.0456796921708,301.225173937437,1157.54636971267,285.422829350799,209.970268919095,-511.375162981808,-194.647939130462,1539.00200901216,-1878.45610986628,-1161.32994249178,2218.25648236986,202.416727890239,298.699772217214,1681.33813504971,-2060.39784929053,2240.99884951483,-1233.80606850999,-1599.78830209414,-841.249271642462,251.892581062624,-1649.64242579827,-1654.64898183439
13,931.317777985975,-467.667448815741,-321.722579134406,969.533772361336,180.9892369974,380.438385175755,117.201039137968,-578.368069757084,-311.988074147109,1980.87979527358,-1712.28869112642,-735.657870680115,2128.55181026741,314.166581126048,635.644821893198,926.808937434371,-1663.0838427513,2069.8691207459,-1124.95712207951,-1313.69510138167,-785.123350635611,-1086.52794553881,-1405.58813275557,-982.702920710586
14,679.949487781386,-128.720678490128,2.34771224601263,772.691767564718,984.853355497414,481.99310175401,484.267982239856,-247.468475477742,-268.045688454334,1873.55179262053,-1171.63814176074,-1048.08007700378,1948.23169299071,34.7406286651103,529.592637430905,1184.26629946941,-1340.29919541564,2361.28776898691,-1240.52901479799,-1308.10775703771,-768.319404671998,-647.173353516298,-1020.27306264559,-261.994043324443
15,640.882853036414,-516.689409229259,-262.469550955853,928.555196911213,786.358582680389,424.947382332128,192.292357297069,-393.880779229986,-555.290042986864,2634.19719481772,-1694.64859136999,-1327.16879684271,2319.31261886711,272.386675576397,644.177321205887,778.88928080109,-979.598130039017,2280.91467758466,-949.516761272525,-1096.61778605096,-744.817640381134,-934.794226018339,-508.588614234757,109.613686297649
16,661.869927129052,-247.62778280442,-29.4341682742252,416.092027340785,855.608618872658,553.526548834171,517.314482442812,-392.836897987458,-510.522934653312,1678.16166292418,-1287.6761679348,-1293.03752408169,1820.74824606771,3.60404187121821,376.418512504266,1382.29737119333,-1357.10368803279,2656.44168067233,-851.245289731401,-1086.61786526097,-955.388174662084,-11.3588098165219,-224.562352965624,896.943197357175
17,854.476606061993,-563.104953219673,-82.7313323301578,1058.98394247101,247.308852865965,327.103725227244,347.638480252926,-468.451755278472,-684.732335148727,1753.63826322814,-1166.44481463191,-1076.04672994961,1980.60522113477,131.903471825873,509.178589608286,760.510987778016,-1157.77246871519,2205.50335282809,-836.999153949057,-1387.26622145651,-608.794281417979,-506.220474376436,-255.470008612087,178.550636624197
18,895.016963294107,-498.488071570181,401.084234382174,633.631441228747,773.179683928526,353.956650287012,357.868960775792,-405.767647403832,-751.051351857604,1052.99073192503,-1628.63260784148,-1586.17434770856,1990.37652052462,-162.610471900833,0.857100894604628,1346.32031701159,-1165.24718692872,2323.9744557063,-507.384416877999,-1377.38138320388,-523.632105741239,1008.99240604504,-668.834315009668,239.136322734063
19,935.394167331281,-883.309805367622,139.957543406196,811.238378511045,110.916137476619,340.9359173791,90.8146562270922,-817.821643544796,-799.558109926587,790.723649762927,-2011.17706997204,-1824.53782724378,1859.55509570567,-66.1404671951041,44.1163912385819,976.011621211223,-628.517001557741,2008.40432118796,-405.189390183363,-1222.47963303063,-538.16934015175,707.465330668394,-1069.80929436752,176.754104245274
20,1168.30404907919,-618.708887221811,450.676498257339,289.219752946297,-97.7273534026072,484.767896039325,-129.461687447314,-678.755734932247,-859.123240829351,224.627723373851,-2006.13516809088,-1851.78919437996,1579.29752437717,-350.571291387235,1.09822526786866,1348.58173556225,-704.726809418115,1932.8448201046,-490.238819550705,-1401.35679864567,-648.173974039964,1477.28550650795,-1650.57514869104,-160.603659981065
21,1225.96229572976,-923.546070309854,129.292203804665,613.821883651632,174.062448051142,397.27194997134,-585.464237242584,-688.806003996538,-926.946922016847,406.59526774778,-2335.68518844511,-732.299892541692,1546.53304549069,-250.231020497946,507.92160527849,669.321788863726,35.6160598947899,1338.42731751598,-578.144054215667,-1032.71712973795,-599.742160072609,721.606998858842,-2004.30594686439,-744.843126719217
